id,amnt_water,date,sponsor,altitude,installer,longitude,latitude,name,no_private,basin,village,region,region_id,district_id,lga,ward,demand,meeting,recorder,op_mgmnt,op_name,permit,year,e_type,e_type_grp,e_type_class,mgmnt,mgmnt_grp,fee,fee_type,w_quality,quality_grp,w_quantity,quantity_grp,source,source_type,source_class,type,type_grp,status
30103,1200,17/3/2011,Government Of Tanzania,1044,Commu,34.16565511,-8.84074272,none,0,Rufiji,Ubamba A,Iringa,11,3,Makete,Mfumbi,0,TRUE,GeoData Consultants Ltd,WUA,Kimani,TRUE,1990,gravity,gravity,gravity,wua,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
73705,0,14/4/2011,,0,,33.87250251,-9.260051,Lupaso,0,Lake Nyasa,Lukasi,Mbeya,12,4,Rungwe,Lwangwa,0,TRUE,GeoData Consultants Ltd,VWC,D,,0,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
13580,0,31/10/2012,Pci,1200,PCI,34.19113896,-1.99791522,Shuleni,0,Lake Victoria,Sarakwa,Mara,20,4,Bunda,Hunyari,233,FALSE,GeoData Consultants Ltd,Parastatal,,FALSE,2012,other,other,other,parastatal,parastatal,unknown,unknown,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,other,other,non-functional
29560,30,24/2/2011,Government Of Tanzania,50,Tanzania Government,38.4997571,-7.13484466,Tazara,0,Wami / Ruvu,Sokoni,Pwani,6,3,Kisarawe,Mafinzi,1,TRUE,GeoData Consultants Ltd,VWC,Gwata water supply,FALSE,2008,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
1315,0,23/7/2011,Hesawa,0,DWE,30.84185115,-1.53349978,Kwaalphonce,0,Lake Victoria,Migina,Kagera,18,1,Karagwe,Nkwenda,0,TRUE,GeoData Consultants Ltd,WUG,Chanyangabwa wate,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
2489,0,13/2/2013,Ministry Of Water,1183,DWE,35.86991298,-4.13926901,Kwa Dismas,0,Internal,Senta,Manyara,21,1,Babati,Mamire,36,TRUE,GeoData Consultants Ltd,VWC,Mamire water supply,TRUE,1998,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
19761,0,30/3/2011,,0,,33.85424926,-9.40674768,Kiloba,0,Lake Nyasa,Kiloba,Mbeya,12,4,Rungwe,Kisegese,0,TRUE,GeoData Consultants Ltd,Water authority,K,,0,gravity,gravity,gravity,water authority,commercial,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
13754,0,20/1/2013,Government Of Tanzania,12,DWE,39.4729406,-9.51511288,Bondeni C,0,Ruvuma / Southern Coast,Bondeni,Lindi,80,13,Kilwa,Kiranjeranje,890,TRUE,GeoData Consultants Ltd,,,TRUE,2012,india mark ii,india mark ii,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
40209,0,40884,Hesawa,0,HESAWA,31.55095794,-1.56180472,Kwa Claudia,0,Lake Victoria,Nyakabanga,Kagera,18,2,Bukoba Rural,Buterankuzi,0,TRUE,GeoData Consultants Ltd,VWC,NCHULOWAIBALE WATER SUPPLY SCHEME,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
22022,0,18/3/2011,Government Of Tanzania,0,Gover,36.40408082,-6.65722709,Lamboni,0,Wami / Ruvu,Masena A,Dodoma,1,1,Mpwapwa,Kibakwe,0,TRUE,GeoData Consultants Ltd,VWC,Iyen,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,cattle trough,cattle trough,functional
27753,0,41342,Oikos E.Afrika,1437,Community,36.87572362,-3.15444918,Masawe Nangoro,0,Internal,Olkung'Wado,Arusha,2,7,Meru,Ngarenanyuki,230,TRUE,GeoData Consultants Ltd,VWC,Olkungabo gravity water supply,TRUE,2007,gravity,gravity,gravity,wug,user-group,unknown,unknown,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
16798,0,13/10/2012,Government Of Tanzania,0,Central government,32.51319285,-4.96070109,Barabarani,0,Lake Tanganyika,Kakulungu,Tabora,14,3,Uyui,Usagali,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
39731,1500,41610,Government Of Tanzania,727,District council,37.5560063,-3.5470821,Kwa Izadin Ramadhani,0,Pangani,Majengo,Kilimanjaro,3,2,Mwanga,Kileo,150,TRUE,GeoData Consultants Ltd,WUA,Kifaru water Supply,TRUE,2010,submersible,submersible,submersible,wua,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
67663,0,19/7/2011,,0,,33.77538422,-9.14520405,Kwa Mzee Mbesela,0,Lake Nyasa,Mwela,Mbeya,12,4,Rungwe,Kandete,0,TRUE,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,non-functional
29117,50,18/3/2013,0,51,0,39.11951676,-6.93072159,Kinyamwezi,0,Wami / Ruvu,Mtaa Wa Kinyamwezi,Dar es Salaam,7,2,Ilala,Pugu,250,,GeoData Consultants Ltd,WUG,,FALSE,2000,submersible,submersible,submersible,wug,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
69524,20,20/4/2011,Dh,443,DH,37.13855739,-6.65568598,Mkwajuni,0,Wami / Ruvu,Mkwajuni,Morogoro,5,1,Kilosa,Rudewa,853,TRUE,GeoData Consultants Ltd,VWC,Ru,TRUE,1980,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,seasonal,seasonal,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
30177,0,21/10/2012,Hesawa,1650,Hesawa,34.48264695,-1.26672167,Kwa Simion,0,Lake Victoria,Nyehunyo,Mara,20,1,Tarime,Sirari,30,FALSE,GeoData Consultants Ltd,,,TRUE,1998,other,other,other,private operator,commercial,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
38511,0,41367,Lamp,992,DWE,35.92473004,-3.71853605,Kwa Kiloriti,0,Internal,Makao Mapya,Manyara,21,1,Babati,Nkaiti,203,TRUE,GeoData Consultants Ltd,WUG,,TRUE,1997,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,fluoride,fluoride,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
62477,0,19/7/2011,Oxfarm,0,DWE,30.89765874,-1.74171587,Kwaanakreti,0,Lake Victoria,Kikonji,Kagera,18,1,Karagwe,Bweranyange,0,TRUE,GeoData Consultants Ltd,,,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
64612,0,41489,Hesawa,1610,HESAWA,34.65902446,-1.82733681,Charles David,0,Lake Victoria,Kyambahi,Mara,20,2,Serengeti,Mugumu Urban,300,,GeoData Consultants Ltd,Other,,TRUE,1998,swn 80,swn 80,handpump,other,other,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
55646,0,25/10/2012,Ministry Of Water,1192,Wizara ya maji,33.93395143,-1.22826867,Nyandago,0,Lake Victoria,Senta,Mara,20,6,Rorya,Nyamagaro,350,,GeoData Consultants Ltd,,,FALSE,1975,other,other,other,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
28265,0,19/2/2013,Kalitasi,1384,Kalitasi,37.99252752,-4.23701933,Kwa Mzee Tadei,0,Pangani,Mvango,Kilimanjaro,3,3,Same,Vuje,15,TRUE,GeoData Consultants Ltd,VWC,Mvango Water Supply,TRUE,2002,gravity,gravity,gravity,vwc,user-group,never pay,never pay,unknown,unknown,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
2528,50,16/2/2013,Mission,956,DWE,35.44469083,-10.65939458,Kwa Gaudence,0,Ruvuma / Southern Coast,Msufini,Ruvuma,10,2,Songea Rural,Maposeni,0,TRUE,GeoData Consultants Ltd,VWC,Mradi wa maji wa peramiho,TRUE,2009,other,other,other,vwc,user-group,pay per bucket,per bucket,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe,non-functional
66940,0,13/7/2011,Hesawa,0,DWE,31.65483101,-1.25529597,Kwakabango,0,Lake Victoria,Bubuga,Kagera,18,7,Misenyi,Kitobo,0,TRUE,GeoData Consultants Ltd,VWC,Nke,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
24386,300,22/1/2013,Government Of Tanzania,1124,DWE,30.36276359,-4.69039758,Shuleni,0,Lake Tanganyika,Kabulanzwili,Kigoma,16,2,Kasulu,Ruhita,750,TRUE,GeoData Consultants Ltd,Water authority,,FALSE,2005,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
41977,0,24/7/2011,Government Of Tanzania,1268,RWE,32.9219078,-2.00787845,Church,0,Lake Victoria,Shuleni,Mwanza,19,1,Ukerewe,Muriti,1,TRUE,GeoData Consultants Ltd,VWC,Muriti Water Supply,TRUE,1974,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,lake,river/lake,surface,communal standpipe multiple,communal standpipe,non-functional
63925,0,14/7/2011,Danida,0,Central government,33.873368,-9.62448836,Kwa Amrike Mwangalaba,0,Lake Nyasa,Njikula,Mbeya,12,3,Kyela,Ikolo,0,TRUE,GeoData Consultants Ltd,VWC,Ngana water supplied scheme,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
69888,2000,21/2/2013,District Council,946,District Council,37.61485373,-3.78308967,Mase Store,0,Pangani,Station,Kilimanjaro,3,2,Mwanga,Lembeni,80,TRUE,GeoData Consultants Ltd,Water Board,Lembeni water supply,TRUE,1973,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional
67388,0,28/3/2013,World Vision,660,World Vision,37.82160803,-4.35505789,Kwa Juma,0,Pangani,Makanya D,Kilimanjaro,3,3,Same,Makanya,340,TRUE,GeoData Consultants Ltd,Water authority,Makanya Tae water supply,TRUE,1993,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,non-functional
65917,30,28/3/2011,District Council,455,Handeni Trunk Main(,38.23231019,-5.34833035,Msikitini,11,Pangani,Kwedigunda,Tanga,4,6,Handeni,Sindeni,80,TRUE,GeoData Consultants Ltd,VWC,Handeni Trunk Main(H,TRUE,2000,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
4473,0,30/7/2011,Ru,769,DWE,30.96644888,-8.12528309,Mwembechai,0,Lake Tanganyika,Mnazi Mmoja,Rukwa,15,3,Nkasi,Kala,150,FALSE,GeoData Consultants Ltd,VWC,,FALSE,1991,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,milky,milky,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
810,0,40854,Oxfarm,0,DWE,31.13880835,-1.73748741,Kabagendera,0,Lake Victoria,Rwamare,Kagera,18,1,Karagwe,Ihembe,0,TRUE,GeoData Consultants Ltd,VWC,Kabagendera water,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,improved spring,improved spring,functional
38085,0,17/3/2011,Government Of Tanzania,0,GOVER,35.84458934,-5.48350584,Unguroad,0,Internal,Mwenge,Dodoma,1,4,Chamwino,Haneti,0,TRUE,GeoData Consultants Ltd,VWC,Hane,TRUE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional
57527,0,40820,Water,0,MWE &,35.89239322,-6.16701484,Kwa Mama Debora,0,Wami / Ruvu,Madukani,Dodoma,1,5,Dodoma Urban,Mtumba,0,TRUE,GeoData Consultants Ltd,VWC,Ihum,FALSE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional
9773,0,30/7/2011,Hifab,0,Hesawa,33.25744589,-2.99371769,Manguluma,0,Lake Victoria,Manguluma,Mwanza,19,4,Kwimba,Igongwa,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
55368,0,41488,Hesawa,1283,Hesawa,34.31796001,-1.67414174,Shuleni,0,Lake Victoria,Senta,Mara,20,2,Serengeti,Kenyamonta,662,FALSE,GeoData Consultants Ltd,Other,,TRUE,1999,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,non-functional
42849,500,40850,Holla,140,RWE,37.79522493,-7.38406232,Kwa Mzee Mnungu,0,Wami / Ruvu,Mkuyuni,Morogoro,5,2,Morogoro Rural,Bwakila Chini,250,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1986,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,unknown,unknown,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
49675,0,30/7/2011,Kkkt_makwale,0,KKKT _ Konde and DWE,34.01963118,-9.48562966,Kwa Wilium Fwemula,0,Lake Nyasa,Matema Kati,Mbeya,12,3,Kyela,Matema,0,TRUE,GeoData Consultants Ltd,VWC,Makwale water supplied sche,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
45659,0,14/7/2011,Wug And Ded,0,DED,31.74735766,-2.34647038,Tumaini,0,Lake Victoria,Kasenda,Kagera,18,8,Chato,Muganza,0,TRUE,GeoData Consultants Ltd,WUA,,TRUE,0,nira/tanira,nira/tanira,handpump,wua,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
64965,0,40790,Tanza,0,Commu,35.94094803,-6.13304066,Zahanati Mtumba,0,Wami / Ruvu,Magungu,Dodoma,1,5,Dodoma Urban,Mtumba,0,TRUE,GeoData Consultants Ltd,VWC,Mtum,FALSE,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non-functional
271,0,18/1/2013,Rwssp,0,DWE,32.40903002,-3.40202144,Sekondari,0,Lake Tanganyika,Lunguya,Shinyanga,17,3,Kahama,Lunguya,0,TRUE,GeoData Consultants Ltd,,,TRUE,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,milky,milky,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
51582,500,40855,Village Council,825,Villag,31.9349786,-8.07041507,Sokoni,0,Lake Rukwa,Manengwe,Rukwa,15,2,Sumbawanga Rural,Milepa,400,TRUE,GeoData Consultants Ltd,VWC,Milepa water supply,FALSE,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
52404,0,40824,Hesawa,0,HESAWA,33.16564401,-2.81141391,Kwa Nkwb,0,Lake Victoria,Nyashana,Mwanza,19,7,Missungwi,Mwaniko,0,,GeoData Consultants Ltd,VWC,,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
26500,30,19/1/2013,Wateraid,1552,SEMA,34.72889627,-4.26015064,Kwa Yusuphu,0,Internal,Makaka B,Singida,13,1,Iramba,Nduguti,205,TRUE,GeoData Consultants Ltd,WUG,Ipuli pipes water supply,TRUE,2006,mono,mono,motorpump,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,broken
51625,0,18/2/2013,Netherlands,0,DWE,33.68142691,-3.00291041,Mwandito,0,Lake Victoria,Bukundi,Shinyanga,17,2,Maswa,Kadoto,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
30830,10,27/2/2011,Ea,442,EA,37.13004716,-6.78918027,Kwa Kituo,0,Wami / Ruvu,Sikutali,Morogoro,5,1,Kilosa,Kimamba A,250,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2008,submersible,submersible,submersible,wug,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non-functional
274,0,28/7/2011,Government Of Tanzania,0,Government,0,-0.00000002,Bombani,0,Lake Victoria,Nyampa B,Mwanza,19,6,Geita,Kasamwa,0,TRUE,GeoData Consultants Ltd,VWC,Kasamwa,TRUE,0,ksb,submersible,submersible,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,dam,dam,surface,communal standpipe multiple,communal standpipe,non-functional
20432,0,41488,,1252,,34.48211379,-5.32891567,Kolongoni,0,Internal,Majengo,Singida,13,2,Singida Rural,Naintiri,1,,GeoData Consultants Ltd,VWC,,,2000,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,other,other,non-functional
48723,1000,41519,Cpps Mission,1309,Mission,34.49182325,-5.76585184,Kwa Paulo Gurungu,0,Rufiji,Damwelu Magharibi,Singida,13,3,Manyoni,Ipande,1500,TRUE,GeoData Consultants Ltd,VWC,Mradi wa Mission,FALSE,1985,windmill,wind-powered,wind-powered,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non-functional
8827,0,24/7/2011,Oxfarm,0,DWE,30.85906328,-1.47256862,Kwaagustine,0,Lake Victoria,Bigenyi B,Kagera,18,1,Karagwe,Nkwenda,0,TRUE,GeoData Consultants Ltd,VWC,Nkwenda water sup,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
46664,35,24/1/2013,Finw,360,FinW,39.47733729,-10.88962581,Madina,0,Ruvuma / Southern Coast,Madina,Mtwara,9,4,Tandahimba,Mkundi,269,TRUE,GeoData Consultants Ltd,Water Board,Borehole,TRUE,1982,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,seasonal,seasonal,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non-functional
21548,0,40641,Hesawa,0,HESAWA,33.10092579,-2.99351943,Kwa Some,0,Lake Victoria,Mwabomba,Mwanza,19,7,Missungwi,Misasi,0,FALSE,GeoData Consultants Ltd,VWC,,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non-functional
47481,0,40789,Government Of Tanzania,1879,DWE,38.2378036,-4.5516173,Kwa Mzee Saidi,0,Pangani,Maseleka,Tanga,4,1,Lushoto,Sunga,1,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1985,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
16430,0,24/1/2013,Canada,21,Canada na Tanzania,39.57771655,-10.02690242,Kwa Mkwakwati,0,Ruvuma / Southern Coast,Mapokezi,Lindi,80,62,Lindi Rural,Ng'apa,400,TRUE,GeoData Consultants Ltd,,,TRUE,2010,india mark ii,india mark ii,handpump,vwc,user-group,unknown,unknown,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
64525,0,40794,Hindu,0,Hindu,0,-0.00000002,Bombani,0,Lake Victoria,Mwamakiliga,Mwanza,19,6,Geita,Kharumwa,0,TRUE,GeoData Consultants Ltd,VWC,Izunya,TRUE,0,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,other,other,unknown,other,other,non-functional
16565,0,18/8/2011,Dwe/norad,1501,DWE,31.94387303,-8.63373908,Claveri Simba,0,Lake Rukwa,Majengo,Rukwa,15,2,Sumbawanga Rural,Laela,200,TRUE,GeoData Consultants Ltd,VWC,,FALSE,1985,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,non-functional
29944,300,41367,District Council,1352,District Council,37.66977812,-3.69570613,Some B,0,Pangani,Some,Kilimanjaro,3,2,Mwanga,Kirongwe,30,TRUE,GeoData Consultants Ltd,WUA,Churu water supply,FALSE,2007,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
1630,500,15/1/2013,Kigoma Municipal Council,793,MWE,29.6168718,-4.90401535,Kisimani,0,Lake Tanganyika,Buteko,Kigoma,16,4,Kigoma Urban,Bangwe,2530,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2008,other,other,other,vwc,user-group,pay monthly,monthly,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non-functional
57818,0,13/3/2013,World Vision,1478,World Vision,37.914754,-4.15518942,Kwa Timotheo,0,Pangani,Chambishi,Kilimanjaro,3,3,Same,Mshewa,30,TRUE,GeoData Consultants Ltd,Water authority,Tutu,TRUE,1995,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
