id,amnt_water,date,sponsor,altitude,installer,longitude,latitude,name,basin,village,region,region_id,district_id,lga,ward,demand,meeting,recorder,op_mgmnt,op_name,permit,year,e_type,e_type_grp,e_type_class,mgmnt,mgmnt_grp,fee,fee_type,w_quality,quality_grp,w_quantity,quantity_grp,source,source_type,source_class,type,type_grp,status
22128,0,24/8/2011,,0,,0,-0.00000002,Budagala,Lake Victoria,Kayenze,Mwanza,19,6,Geita,Chigunga,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,hand pump,hand pump,functional
52269,0,41039,Hesaw,0,DWE,0,-0.00000002,Kwa Makala,Lake Victoria,Iwelimo,Mwanza,19,2,Magu,Nyaluhande,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
50581,0,40732,Kkkt,0,KKKT,32.68580228,-8.91488999,Geston Kamwela,Lake Rukwa,Mapogoro,Mbeya,12,6,Mbozi,Itaka,0,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
44450,100,19/1/2013,Government Of Tanzania,375,District Water Department,38.32922566,-10.38168075,Mzee Liala,Ruvuma / Southern Coast,Majimaji,Lindi,8,3,Nachingwea,Mbondo,259,TRUE,GeoData Consultants Ltd,VWC,Chimbendenga,FALSE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non-functional
16510,0,13/11/2012,Ministry Of Water,1189,Hesawa,33.96701836,-1.42239949,Sekondari,Lake Victoria,Ntoroko,Mara,20,6,Rorya,Komuge,450,TRUE,GeoData Consultants Ltd,VWC,Mradi wa maji Komuge,FALSE,1983,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,non-functional
32892,0,26/7/2011,Si,0,SI,31.57846239,-1.77232903,Kwa Gotfried,Lake Victoria,Kijumbula,Kagera,18,3,Muleba,Nshamba,0,TRUE,GeoData Consultants Ltd,VWC,N,TRUE,0,ksb,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
60194,0,40697,World Bank,251,RWE,38.57946766,-5.22171207,Tambokaleli,Pangani,Station,Tanga,4,2,Korogwe,Mnyuzi,800,TRUE,GeoData Consultants Ltd,VWC,Mnyuzi water supply,FALSE,1967,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional
31692,0,24/2/2011,Private,-5,Private,39.38913797,-7.10763364,Kwa Dr Adam Mwabulanga,Wami / Ruvu,Mzingezinge,Pwani,60,43,Mkuranga,Vikindu,115,TRUE,GeoData Consultants Ltd,VWC,,FALSE,2009,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,functional
2351,300,26/2/2011,Dwe,-2,DWE,38.74926738,-7.87935149,Kibore,Rufiji,Lusende,Pwani,60,53,Rufiji,Mkongo,1,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1974,mono,mono,motorpump,vwc,user-group,other,other,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non-functional
59735,0,41009,Rwssp,0,WEDECO,34.16111096,-3.16740901,Mwamanota,Internal,Mumunu,Shinyanga,17,6,Meatu,Mwabusalu,0,TRUE,GeoData Consultants Ltd,WUG,None,TRUE,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
1730,100,20/10/2012,Mwita Kichere,1599,mwita kichere,34.7135397,-1.83714618,Mwita Kichere,Lake Victoria,Center,Mara,20,2,Serengeti,Kisangura,60,FALSE,GeoData Consultants Ltd,Private operator,,,2008,other - rope pump,rope pump,rope pump,private operator,commercial,pay per bucket,per bucket,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
61200,0,24/7/2011,Drdp Ngo,0,DWE,30.83736754,-1.46121634,Tank La Zahanat,Lake Victoria,Bweyendezi,Kagera,18,1,Karagwe,Nkwenda,0,TRUE,GeoData Consultants Ltd,,,TRUE,0,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
53934,0,40979,Wateraid,0,Water Aid,32.71110001,-5.14671181,Kwa Ramadhan Musa,Lake Tanganyika,Imalauduki,Tabora,14,6,Tabora Urban,Itetemia,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty,salty,seasonal,seasonal,machine dbh,borehole,groundwater,hand pump,hand pump,non-functional
53655,20,28/2/2011,Water User As,254,Wa,38.35006504,-6.37174185,Kassim,Wami / Ruvu,Mbuyu,Pwani,6,1,Bagamoyo,Msata,20,TRUE,GeoData Consultants Ltd,WUA,Chalinze wate,TRUE,2009,ksb,submersible,submersible,wua,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,non-functional
17625,0,40794,Kmcl,0,KMCL,0,-0.00000002,Bombani,Lake Tanganyika,Kanegele,Mwanza,19,6,Geita,Kharumwa,0,TRUE,GeoData Consultants Ltd,VWC,Nyamtukuza,TRUE,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,lake,river/lake,surface,communal standpipe,communal standpipe,functional
61883,500,14/3/2011,Plan Int,317,Plan Int,36.48669063,-8.0823985,Kwandimbo,Rufiji,Ndundu,Morogoro,5,3,Kilombero,Idete,500,TRUE,GeoData Consultants Ltd,,,TRUE,2008,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
33468,0,20/3/2011,Islamic Found,-18,Is,38.88390109,-6.45185004,Shuleni,Wami / Ruvu,Magomeni B,Pwani,6,1,Bagamoyo,Magomeni,500,TRUE,GeoData Consultants Ltd,Parastatal,,FALSE,2009,india mark ii,india mark ii,handpump,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
42487,300,41550,Government Of Tanzania,1396,Central govt,37.67524025,-3.61321707,Kwa Iddi,Pangani,Sechuni,Kilimanjaro,3,2,Mwanga,Mwaniko,240,TRUE,GeoData Consultants Ltd,Water Board,Vulue water supply,FALSE,1972,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,other,other,non-functional
23529,0,22/2/2011,,-33,,39.80624816,-7.86667784,Baleni Primary School,Rufiji,Makongoroni,Pwani,60,63,Mafia,Baleni,500,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
32002,0,40728,Water,0,Commu,35.95491398,-5.88888728,Korongoni,Wami / Ruvu,Kati,Dodoma,1,5,Dodoma Urban,Hombolo,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non-functional
13736,0,40670,,0,,33.54740771,-9.22650724,Kwa Mzee Mwalabila,Lake Nyasa,Ndebele,Mbeya,12,4,Rungwe,Kyimo,0,TRUE,GeoData Consultants Ltd,VWC,I,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
51593,0,41276,Government Of Tanzania,-10,DWE,39.25866877,-8.50254905,Tanki La Shule,Ruvuma / Southern Coast,Njia Nne,Lindi,80,13,Kilwa,Tingi,550,FALSE,GeoData Consultants Ltd,,,TRUE,2012,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,other,other,non-functional
37723,0,30/7/2011,Kkkt_makwale,0,KKKT _ Konde and DWE,33.92240722,-9.48559469,Kwa Angolwisye Mwambingu,Lake Nyasa,Masoko,Mbeya,12,3,Kyela,Makwale,0,TRUE,GeoData Consultants Ltd,VWC,Makwale water supplied sche,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
11198,0,41307,Fin Water,327,FIN WATER,38.69468973,-10.91123407,Minazini,Ruvuma / Southern Coast,Bombani,Mtwara,90,63,Nanyumbu,Maratani,46,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1985,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
56327,2000,28/10/2012,Jika,1163,Grobal resource alliance,33.9838924,-1.20985979,Namba Mbili,Lake Victoria,Kuba,Mara,20,6,Rorya,Nyahongo,475,TRUE,GeoData Consultants Ltd,,,TRUE,2011,afridev,afridev,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
63627,200,22/2/2011,Bank,2545,Commu,34.01711933,-9.1286384,none,Lake Nyasa,Igawa,Iringa,11,3,Makete,Kitulo,0,TRUE,GeoData Consultants Ltd,VWC,Nkenja,FALSE,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
29700,10,41342,Giz,812,KILI WATER,37.47430329,-3.38877216,Kwa Mipale,Pangani,Kati Juu,Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Kusini,5,TRUE,GeoData Consultants Ltd,WUA,Uchira water users association,TRUE,2001,gravity,gravity,gravity,wua,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
56242,0,20/7/2011,Hesawa,0,HESAWA,31.69949762,-3.00439511,Kwa Mzee Albert,Lake Victoria,Ibingo,Kagera,18,8,Chato,Bwera,0,TRUE,GeoData Consultants Ltd,WUG,,TRUE,0,swn 80,swn 80,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump,non-functional
16594,0,40551,,0,,33.15659828,-2.47583747,Kwa Zabron,Lake Victoria,Nyakasenge,Mwanza,19,2,Magu,Kongolo,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
33191,500,40614,Adb,1722,DWE,34.77823438,-8.97895508,Kwa Josefati Mlimbila,Rufiji,Mjimwema,Iringa,11,4,Njombe,Mtwango,35,TRUE,GeoData Consultants Ltd,VWC,Mawande gravity Scheme,FALSE,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
12768,33,41344,Ces(gmbh),694,DWE,37.45824673,-3.4874663,Kwa Agnes Zakaria,Pangani,Ngasinyi,Kilimanjaro,3,4,Moshi Rural,Kahe,75,TRUE,GeoData Consultants Ltd,Water Board,Kirua kahe pumping water trust,TRUE,2008,submersible,submersible,submersible,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
74176,0,17/3/2013,Government Of Tanzania,991,DWE,37.37037474,-3.30815036,Kwa Msendo,Pangani,Kiwalaa,Kilimanjaro,3,4,Moshi Rural,Mbokomu,100,TRUE,GeoData Consultants Ltd,VWC,Mbokomu east,FALSE,1963,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
29047,300,20/3/2011,Co,311,Co,36.99608253,-7.59686177,Kwa Gwebe,Rufiji,Mwaya,Morogoro,5,1,Kilosa,Kidodi,90,TRUE,GeoData Consultants Ltd,VWC,It,TRUE,2011,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
68659,0,18/10/2012,Government Of Tanzania,0,Government,33.78748088,-3.51298448,Kwa Rugandu Basu,Internal,Chamani,Shinyanga,17,2,Maswa,Budekwa,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,other,other,other,vwc,user-group,other,other,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,non-functional
51358,0,27/1/2013,Mdrdp,1948,MDRDP,35.36755884,-3.94181256,Garbabi Primary School,Internal,Nari,Manyara,21,3,Mbulu,Tlawi,362,TRUE,GeoData Consultants Ltd,Parastatal,,TRUE,1997,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
11581,50,23/1/2013,Lga,386,LGA,38.60065259,-10.6347662,Mkurugenzi,Ruvuma / Southern Coast,Mwinyi,Mtwara,90,33,Masasi,Namatutwe,250,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2009,india mark ii,india mark ii,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,non-functional
49692,0,19/3/2011,Government Of Tanzania,0,Gover,36.37738319,-6.71055225,Kapwaga,Wami / Ruvu,Kikurunge Chini,Dodoma,1,1,Mpwapwa,Kibakwe,0,TRUE,GeoData Consultants Ltd,VWC,Kiba,TRUE,0,other,other,other,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,other,other,non-functional
62759,0,29/3/2011,Bsf,0,DWE,35.43698745,-5.22752333,Tumbakose,Internal,Mirembe,Dodoma,1,1,Kondoa,Kwamtoro,0,TRUE,GeoData Consultants Ltd,VWC,Tumb,FALSE,0,cemo,other motorpump,motorpump,vwc,user-group,pay per bucket,per bucket,salty abandoned,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
50470,0,22/10/2012,World Vision,0,World vision,32.28227648,-3.40282438,Bunigonzi No 1,Lake Tanganyika,Bunigonzi No 1,Shinyanga,17,5,Bukombe,Ushirika,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
55010,0,40547,Dhv,386,DWE,37.79203542,-7.24196371,Kwa Mzee Rajabu Zinga,Wami / Ruvu,Sanga B,Morogoro,5,2,Morogoro Rural,Kolero,100,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1997,swn 80,swn 80,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,broken
46315,30,41366,Government Of Tanzania,1087,MUWASA,31.08207682,-6.34683759,Grace Poulo,Lake Rukwa,Magazini,Rukwa,15,1,Mpanda,Kashaulili,1,TRUE,GeoData Consultants Ltd,Water authority,,TRUE,2010,gravity,gravity,gravity,water authority,commercial,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,broken
1972,50,40547,Government Of Tanzania,617,GIDA contractor,38.0179955,-5.49399569,Mangidi A,Pangani,Mangidi,Tanga,4,6,Handeni,Vibaoni,30,TRUE,GeoData Consultants Ltd,VWC,WSDP,FALSE,2009,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,dam,dam,surface,communal standpipe multiple,communal standpipe,functional
305,100,31/1/2013,Danida,1016,DWE,29.88351835,-4.95888295,Kwa Posiano Butoke,Lake Tanganyika,Kilemba,Kigoma,16,3,Kigoma Rural,Kandaga,250,TRUE,GeoData Consultants Ltd,WUG,Kalenge water project,TRUE,2006,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
28734,1000,21/3/2011,Dhv,341,DWE,36.38094451,-8.75865056,Kwa Itambiko,Rufiji,Legeza Mwendo,Morogoro,5,4,Ulanga,Mtimbira,260,TRUE,GeoData Consultants Ltd,Water Board,Mtimbira,TRUE,1995,gravity,gravity,gravity,wug,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
39345,0,28/7/2011,Danida,0,Central government,33.89996738,-9.43420067,Kwa Tom Mwankenja,Lake Nyasa,Mpunguti,Mbeya,12,3,Kyela,Ipinda,0,TRUE,GeoData Consultants Ltd,VWC,Ngamanga water supplied sch,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
11416,0,26/10/2012,Dwsp,0,DWE,0,-0.00000002,none,Lake Victoria,Ikungulyambeshi,Shinyanga,17,1,Bariadi,Kasoli,0,,GeoData Consultants Ltd,WUG,,FALSE,0,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
19849,500,40758,Government Of Tanzania,1653,DWE,38.24301841,-4.4904437,Msikitini,Pangani,Kiyanga,Tanga,4,1,Lushoto,Mtae,1,TRUE,GeoData Consultants Ltd,VWC,Shengui forest,TRUE,2005,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
65761,0,29/7/2011,Swedish,0,Sengerema Water Department,32.61149185,-2.53276065,Not Known,Lake Victoria,Kasahunga,Mwanza,19,5,Kwimba,Mwagi,0,TRUE,GeoData Consultants Ltd,VWC,None,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,functional
64247,6,41336,Ces(gmbh),1603,DWE,37.45781477,-3.2980325,Kwa Felisiana Malya,Pangani,Chakimalya,Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Magharibi,50,TRUE,GeoData Consultants Ltd,Water Board,Kirua kahe gravity water supply trust,TRUE,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
36200,3500,18/2/2013,Wateraid,1203,SEMA,34.2673793,-4.51767098,Kwa Kititimo,Internal,Kisua,Singida,13,1,Iramba,Mtoa,455,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2010,afridev,afridev,handpump,vwc,user-group,pay annually,annually,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
48254,50,21/3/2013,0,14,0,39.19551832,-6.89744146,Kwa Mwakasitu,Wami / Ruvu,Mtaa Wa Kitunda Kati,Dar es Salaam,7,2,Ilala,Kitunda,150,,GeoData Consultants Ltd,Private operator,,FALSE,2010,submersible,submersible,submersible,private operator,commercial,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
60963,0,25/10/2012,Tasaf,0,TASAF,32.87187859,-4.82903405,Kwa Mwana,Lake Tanganyika,Mwamhala,Tabora,14,3,Uyui,Ikongolo,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
72425,1000,40637,Rc Church,2143,RC CHURCH,34.41088844,-9.20046063,Kwa Beneti Sanga,Rufiji,Ngongomi,Iringa,11,4,Njombe,Wangama,125,TRUE,GeoData Consultants Ltd,VWC,imalilo water supply scheme,TRUE,2000,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
19967,0,40979,Tasaf,0,TASAF,32.98942449,-4.91139181,Mwadawa Ramadhani,Lake Tanganyika,Upuge B,Tabora,14,3,Uyui,Upuge,0,TRUE,GeoData Consultants Ltd,VWC,Upuge water supply,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,coloured,colored,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
57797,10,41335,Cafod,1059,CBHCC,36.94684423,-3.39604284,Kikatiti Sokoni,Pangani,Kambi Ya Mkaa,Arusha,2,7,Meru,Kikatiti,500,TRUE,GeoData Consultants Ltd,Water Board,Kimasaki gravity water supply,TRUE,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
30601,0,41010,Hesawa,1319,DWE,33.91091158,-1.97110091,Kwa Makoye Sabuni,Lake Victoria,Nyamunyo,Mara,20,4,Bunda,Sazira,230,TRUE,GeoData Consultants Ltd,WUG,,FALSE,1988,other,other,other,wug,user-group,unknown,unknown,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
49120,0,20/10/2012,Tcrs.Tlc,0,TCRS/TLC,32.12466753,-4.5845965,Ayoub Mathias,Lake Tanganyika,19,Tabora,14,4,Urambo,Milambo,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
38024,0,15/2/2013,Lwi,1343,LWI,34.12856629,-2.89058047,Duduli,Lake Victoria,Mbesi,Shinyanga,17,1,Bariadi,Lagangabilili,500,FALSE,GeoData Consultants Ltd,WUG,,FALSE,2007,india mark ii,india mark ii,handpump,wug,user-group,other,other,salty abandoned,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
42770,0,29/3/2013,Government Of Tanzania,1490,Central Government,37.57874836,-3.27435659,Kitiko,Pangani,Madukani,Kilimanjaro,3,4,Moshi Rural,Mwika Kusini,1,TRUE,GeoData Consultants Ltd,WUA,Mtiro pipeline,TRUE,0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
64060,0,15/7/2011,Action Contre La Faim,0,DWE,31.13109185,-3.07397196,Kwa Revelian,Lake Tanganyika,Nyangaliso,Kagera,18,4,Biharamulo,Kalenge,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,unknown,unknown,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
16994,0,27/2/2013,Kiliwater,1797,Kiliwater,37.57132626,-3.06218277,Kwa Ewarld,Pangani,Kilawoyi,Kilimanjaro,3,1,Rombo,Ubetu Kahe,1,TRUE,GeoData Consultants Ltd,Company,EKTM 3 water supply,TRUE,2009,gravity,gravity,gravity,company,commercial,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
16924,0,21/3/2011,Kibaha Town Council,55,DWE,39.04712953,-6.70377915,Yowela,Wami / Ruvu,Kidimu,Pwani,6,2,Kibaha,Tumbi,1,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2009,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
